Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.471878051758,0.0,0,3428,0,0,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.471878051758,-2.0,0,1218,0,163,1624
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.471878051758,0.823562266871,14,3083,2,329,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.471878051758,-0.0480415536212,4,3539,9,469,4730
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.471878051758,1.72310160415,12,3026,0,390,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.471878051758,-4.55,0,4030,5,530,5315
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.471878051758,0.818365586518,5,3024,1,398,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.471878051758,-0.276424440498,8,13559,0,1585,15902
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.471878051758,-1.56497352619,5,8534,1,1030,10320
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.471878051758,2.169571778,8,1230,2,157,1643
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.471878051758,0.0632112946992,24,19670,7,2244,22695
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.471878051758,-0.266768992882,4,1155,0,149,1538
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.471878051758,0.86067182427,6,3025,0,397,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.471878051758,1.7360251845,14,1875,0,236,2500
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.471878051758,1.86037494701,21,1871,0,229,2495
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.471878051758,-2.33,0,3022,3,403,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.471878051758,-0.18011478401,16,13556,8,1572,15902
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.471878051758,0.75067182427,5,3024,1,398,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.471878051758,1.72310160415,6,3026,0,396,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.471878051758,1.50310160415,9,3024,2,393,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.471878051758,1.45850458337,19,5788,3,707,7267
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.471878051758,0.641272490375,2,1782,2,237,2380
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.471878051758,-2.08740023262,1,1408,2,189,1882
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.471878051758,0.86067182427,18,3025,0,385,4032
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.471878051758,0.2748481562,9,1230,3,155,1643
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.471878051758,1.72137570748,5,13501,0,1577,15833
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.471878051758,-0.599636764201,17,13656,4,1415,15842
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.471878051758,0.229045447866,15,13538,15,1575,15893
comportexDepth1EfftGlobalFrac16Stim18,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.471878051758,0.86142179597,6,1621,0,211,2162
Totals,,,,9.85361814028,459,299154,193,33036,365558
